报表类型,科目名称,英文名(api_column),数据类型,说明,是否有用,用途说明
利润表,营业收入,revenue,float,主营业务收入,True,盈利能力/营收/费用分析
利润表,营业成本,cost,float,主营业务成本,True,盈利能力/营收/费用分析
利润表,营业税金及附加,tax_surcharge,float,税金及附加,False,盈利能力/营收/费用分析
利润表,销售费用,sales_exp,float,销售费用,True,盈利能力/营收/费用分析
利润表,管理费用,admin_exp,float,管理费用,True,盈利能力/营收/费用分析
利润表,财务费用,fin_exp,float,财务费用,True,盈利能力/营收/费用分析
利润表,研发费用,rd_exp,float,研发费用,True,盈利能力/营收/费用分析
利润表,资产减值损失,asset_impair,float,资产减值损失,False,盈利能力/营收/费用分析
利润表,公允价值变动收益,fair_value_chg,float,公允价值变动,False,盈利能力/营收/费用分析
利润表,投资收益,inv_income,float,投资收益,True,盈利能力/营收/费用分析
利润表,营业利润,operating_profit,float,营业利润,True,盈利能力/营收/费用分析
利润表,营业外收入,non_op_income,float,营业外收入,False,盈利能力/营收/费用分析
利润表,营业外支出,non_op_exp,float,营业外支出,False,盈利能力/营收/费用分析
利润表,利润总额,total_profit,float,利润总额,True,盈利能力/营收/费用分析
利润表,所得税费用,tax_exp,float,所得税费用,True,盈利能力/营收/费用分析
利润表,净利润,net_profit,float,净利润,True,盈利能力/营收/费用分析
利润表,归属于母公司所有者的净利润,net_profit_parent,float,归母净利润,True,盈利能力/营收/费用分析
利润表,少数股东损益,minority_interest,float,少数股东损益,False,盈利能力/营收/费用分析
利润表,基本每股收益,eps_basic,float,基本每股收益(元),True,盈利能力/营收/费用分析
利润表,稀释每股收益,eps_diluted,float,稀释每股收益(元),True,盈利能力/营收/费用分析
利润表,综合收益总额,total_comprehensive_income,float,综合收益总额,False,盈利能力/营收/费用分析
利润表,归属于母公司所有者的综合收益总额,compr_income_parent,float,归母综合收益,False,盈利能力/营收/费用分析
资产负债表,货币资金,cash,float,货币资金,True,资产/负债/权益结构分析
资产负债表,交易性金融资产,trading_assets,float,交易性金融资产,True,资产/负债/权益结构分析
资产负债表,应收票据及应收账款,notes_receivable,float,应收票据及应收账款,True,资产/负债/权益结构分析
资产负债表,应收票据,notes_receivable_pure,float,应收票据,False,资产/负债/权益结构分析
资产负债表,应收账款,accounts_receivable,float,应收账款,True,资产/负债/权益结构分析
资产负债表,预付款项,prepayments,float,预付款项,False,资产/负债/权益结构分析
资产负债表,其他应收款,other_receivables,float,其他应收款,False,资产/负债/权益结构分析
资产负债表,存货,inventory,float,存货,True,资产/负债/权益结构分析
资产负债表,流动资产合计,current_assets,float,流动资产合计,True,资产/负债/权益结构分析
资产负债表,长期股权投资,long_term_equity_inv,float,长期股权投资,True,资产/负债/权益结构分析
资产负债表,投资性房地产,inv_property,float,投资性房地产,False,资产/负债/权益结构分析
资产负债表,固定资产净额,fixed_assets,float,固定资产净额,True,资产/负债/权益结构分析
资产负债表,在建工程,construction_in_progress,float,在建工程,False,资产/负债/权益结构分析
资产负债表,使用权资产,right_of_use_assets,float,使用权资产,False,资产/负债/权益结构分析
资产负债表,无形资产,intangible_assets,float,无形资产,True,资产/负债/权益结构分析
资产负债表,开发支出,development_expenditure,float,开发支出,False,资产/负债/权益结构分析
资产负债表,商誉,goodwill,float,商誉,True,资产/负债/权益结构分析
资产负债表,长期待摊费用,long_term_deferred_exp,float,长期待摊费用,False,资产/负债/权益结构分析
资产负债表,递延所得税资产,deferred_tax_assets,float,递延所得税资产,False,资产/负债/权益结构分析
资产负债表,其他非流动资产,other_non_current_assets,float,其他非流动资产,False,资产/负债/权益结构分析
资产负债表,非流动资产合计,non_current_assets,float,非流动资产合计,True,资产/负债/权益结构分析
资产负债表,资产总计,total_assets,float,资产总计,True,资产/负债/权益结构分析
资产负债表,短期借款,short_term_loans,float,短期借款,True,资产/负债/权益结构分析
资产负债表,应付票据及应付账款,notes_payable,float,应付票据及应付账款,True,资产/负债/权益结构分析
资产负债表,应付票据,notes_payable_pure,float,应付票据,False,资产/负债/权益结构分析
资产负债表,应付账款,accounts_payable,float,应付账款,True,资产/负债/权益结构分析
资产负债表,应付职工薪酬,employee_pay_payable,float,应付职工薪酬,False,资产/负债/权益结构分析
资产负债表,应交税费,taxes_payable,float,应交税费,True,资产/负债/权益结构分析
资产负债表,其他应付款,other_payables,float,其他应付款,False,资产/负债/权益结构分析
资产负债表,流动负债合计,current_liabilities,float,流动负债合计,True,资产/负债/权益结构分析
资产负债表,长期借款,long_term_loans,float,长期借款,True,资产/负债/权益结构分析
资产负债表,应付债券,bonds_payable,float,应付债券,False,资产/负债/权益结构分析
资产负债表,租赁负债,lease_liabilities,float,租赁负债,False,资产/负债/权益结构分析
资产负债表,递延所得税负债,deferred_tax_liabilities,float,递延所得税负债,False,资产/负债/权益结构分析
资产负债表,非流动负债合计,non_current_liabilities,float,非流动负债合计,True,资产/负债/权益结构分析
资产负债表,负债合计,total_liabilities,float,负债合计,True,资产/负债/权益结构分析
资产负债表,实收资本(或股本),share_capital,float,股本,True,资产/负债/权益结构分析
资产负债表,资本公积,capital_reserve,float,资本公积,False,资产/负债/权益结构分析
资产负债表,盈余公积,surplus_reserve,float,盈余公积,False,资产/负债/权益结构分析
资产负债表,未分配利润,retained_earnings,float,未分配利润,True,资产/负债/权益结构分析
资产负债表,归属于母公司股东权益合计,equity_parent,float,归母股东权益,True,资产/负债/权益结构分析
资产负债表,少数股东权益,minority_equity,float,少数股东权益,False,资产/负债/权益结构分析
资产负债表,所有者权益合计,total_equity,float,股东权益合计,True,资产/负债/权益结构分析
资产负债表,负债和所有者权益总计,total_liab_equity,float,负债和权益总计,True,资产/负债/权益结构分析
现金流量表,销售商品、提供劳务收到的现金,cash_from_sales,float,销售收现,True,现金流质量/资本支出分析
现金流量表,收到的税费返还,tax_refund,float,税费返还,False,现金流质量/资本支出分析
现金流量表,经营活动现金流入小计,op_cash_inflow,float,经营活动现金流入,True,现金流质量/资本支出分析
现金流量表,购买商品、接受劳务支付的现金,cash_for_purchases,float,购买商品付现,True,现金流质量/资本支出分析
现金流量表,支付给职工以及为职工支付的现金,cash_for_employees,float,职工薪酬付现,False,现金流质量/资本支出分析
