id,name,description,seed_keywords,requires_entity,default_seed_fields,site_search_urls
`CONCEPT_MARKET_INDEX`,市场整体行情,主要股票市场指数的实时表现和历史走势，包括A股指数（上证综指、深证成指、创业板指、科创50、沪深300、中证500等）、港股（恒生指数、恒生科技）、美股（道琼斯、纳斯达克、标普500）、欧洲（德国DAX、英国富时100、法国CAC40）、亚太（日经225、韩国KOSPI、台湾加权、印度Sensex）等,指数、大盘、上证、恒生、纳斯达克、道琼斯,[],"FIELD_INDEX_NAME, FIELD_INDEX_PRICE, FIELD_INDEX_PCT_CHG, FIELD_INDEX_HIGH, FIELD_INDEX_LOW, FIELD_INDEX_VOL, FIELD_INDEX_AMOUNT",`site:eastmoney.com` 指数行情页
`CONCEPT_MARKET_SENTIMENT`,市场情绪与快讯,全市场情绪指标（市场热度、上涨占比、赚钱效应、涨停梯队、涨跌分布）和实时财经快讯（财联社、华尔街见闻等）,情绪、热度、赚钱效应、快讯、电报、涨停梯队,[],"FIELD_MARKET_HEAT, FIELD_MARKET_BALANCE, FIELD_MARKET_UP_RATIO, FIELD_MARKET_PROFIT_RATIO, FIELD_LIMIT_UP_BOARD, FIELD_NEWS_TITLE, FIELD_NEWS_CONTENT",`site:cls.cn` 快讯栏目；`site:xueqiu.com` 热门讨论
`CONCEPT_SECTOR_REALTIME`,板块实时行情,申万行业板块（31个一级、134个二级、346个三级）和概念板块的实时表现，包括涨跌幅、成交额、换手率、领涨股、主力资金净流入等,板块、行业、概念、领涨、轮动,[`sector_name`],"FIELD_SECTOR_NAME, FIELD_SECTOR_PCT_CHG, FIELD_SECTOR_AMOUNT, FIELD_SECTOR_TURNOVER, FIELD_SECTOR_LEAD_STOCK, FIELD_SECTOR_MAIN_INFLOW",`site:eastmoney.com` 板块行情页
`CONCEPT_LHB_BLOCKTRADE`,龙虎榜与大宗交易,每日龙虎榜上榜股票详情（买入/卖出金额、净买入额、上榜理由、营业部明细）和大宗交易数据（成交量、成交价、折溢价率、买卖营业部）,龙虎榜、机构席位、大宗交易、折溢价、营业部,[`stock_code`],"FIELD_LHB_STOCK_NAME, FIELD_LHB_PCT_CHG, FIELD_LHB_BUY, FIELD_LHB_SELL, FIELD_LHB_NET, FIELD_LHB_REASON, FIELD_BLOCK_PRICE, FIELD_BLOCK_VOL",`site:eastmoney.com` 龙虎榜页面
`CONCEPT_INDUSTRY_CLASSIFY`,行业分类与成分,申万行业分类体系及每个行业的成分股列表（含纳入/剔除日期），以及个股的行业归属查询,行业分类、申万、成分股、行业归属,[`industry_code`],"FIELD_INDUSTRY_L1_NAME, FIELD_INDUSTRY_L2_NAME, FIELD_INDUSTRY_L3_NAME, FIELD_INDUSTRY_MEMBER, FIELD_INDUSTRY_IN_DATE",`site:10jqka.com.cn` 概念板块页面
`CONCEPT_INDUSTRY_BG`,产业背景分析,目标产业或技术领域的系统性背景信息：技术图谱、产业链结构、政策与标准、全球竞争版图、历史演进、商业盈利模式,产业、产业链、技术路线、竞争格局、产业背景,[`industry_name`],"FIELD_INDUSTRY_BG_TECH, FIELD_INDUSTRY_BG_CHAIN, FIELD_INDUSTRY_BG_POLICY, FIELD_INDUSTRY_BG_PLAYERS",`site:stcn.com` 政策解读；`site:cls.cn` 行业深度
`CONCEPT_PATH_ANALYSIS`,投资路径分析,从一条资讯或投资主题出发，系统性地分化出多条潜在投资路径（技术路线/产业链环节/地域/时间维度等）,投资路径、分化、切入点、先行信号,[`topic`],"FIELD_PATH_ID, FIELD_PATH_DIMENSION, FIELD_PATH_DESC, FIELD_PATH_ENTRY, FIELD_PATH_SIGNAL, FIELD_PATH_PRIORITY",`site:cls.cn` 产业快讯；`site:stcn.com` 行业分析
`CONCEPT_POLICY_ORIGINAL`,政策原文,国家行政机关（医保局、药监局、工信部、发改委、财政部、证监会、央行等）公开披露的法规、条例、批复、通知等文本数据,政策、法规、通知、批复、文件、原文,[`policy_keyword`],"FIELD_POLICY_TITLE, FIELD_POLICY_DEPT, FIELD_POLICY_DATE, FIELD_POLICY_TYPE, FIELD_POLICY_FULLTEXT, FIELD_POLICY_LINK",`site:gov.cn` 政策文件库；各部委官网
`CONCEPT_REALTIME_QUOTE`,实时行情与估值,个股实时价格、涨跌幅、成交量、成交额，以及关键估值指标（PE_TTM、PB、PS_TTM、总市值、流通市值、换手率、量比、股息率）,股价、行情、PE、PB、市值、换手率、量比,[`stock_code`],"FIELD_QUOTE_PRICE, FIELD_QUOTE_PCT_CHG, FIELD_TOTAL_MV, FIELD_PE_TTM, FIELD_PB, FIELD_TURNOVER_RATE, FIELD_VOLUME_RATIO",`site:eastmoney.com` 个股行情页
`CONCEPT_HISTORICAL_KLINE`,历史K线,个股日/周/月K线及分钟K线数据，支持前复权/后复权/不复权，以及技术面因子（MACD、KDJ、RSI、BOLL、CCI）,K线、日线、周线、月线、分钟线、技术指标,[`stock_code`],"FIELD_KLINE_DATE, FIELD_KLINE_OPEN, FIELD_KLINE_HIGH, FIELD_KLINE_LOW, FIELD_KLINE_CLOSE, FIELD_KLINE_VOL, FIELD_KLINE_PCT_CHG, FIELD_MACD_DIF, FIELD_KDJ_K",`site:eastmoney.com` 个股K线页
